Year,Category,Status,Amount
2017-12,Category B,Vehicle Deregistration,3261.0
2017-12,Category D,Vehicle Deregistration,918.0
2018-01,Category A,Vehicle Deregistration,3778.0
2018-01,Category B,Vehicle Deregistration,3244.0
2018-01,Category D,Vehicle Deregistration,1052.0
2018-02,Category A,Vehicle Deregistration,2458.0
2018-02,Category B,Vehicle Deregistration,2238.0
2018-02,Category D,Vehicle Deregistration,907.0
2018-03,Category A,Vehicle Deregistration,3310.0
2018-03,Category B,Vehicle Deregistration,3043.0
2018-03,Category D,Vehicle Deregistration,1188.0
2018-04,Category A,Vehicle Deregistration,3604.0
2018-04,Category B,Vehicle Deregistration,2783.0
2018-04,Category D,Vehicle Deregistration,1237.0
2018-05,Category A,Vehicle Deregistration,3653.0
2018-05,Category B,Vehicle Deregistration,2873.0
2018-05,Category D,Vehicle Deregistration,1872.0
2018-06,Category A,Vehicle Deregistration,3823.0
2018-06,Category B,Vehicle Deregistration,2757.0
2018-06,Category D,Vehicle Deregistration,1607.0
2018-07,Category A,Vehicle Deregistration,4213.0
2018-07,Category B,Vehicle Deregistration,2916.0
2018-07,Category D,Vehicle Deregistration,1541.0
2018-08,Category A,Vehicle Deregistration,4001.0
2018-08,Category B,Vehicle Deregistration,2749.0
2018-08,Category D,Vehicle Deregistration,1412.0
2018-09,Category A,Vehicle Deregistration,3886.0
2018-09,Category B,Vehicle Deregistration,2556.0
2018-09,Category D,Vehicle Deregistration,1375.0
2018-10,Category A,Vehicle Deregistration,3656.0
2018-10,Category B,Vehicle Deregistration,2634.0
2018-10,Category D,Vehicle Deregistration,1530.0
2018-11,Category A,Vehicle Deregistration,3872.0
2018-11,Category B,Vehicle Deregistration,2688.0
2018-11,Category D,Vehicle Deregistration,1304.0
2018-12,Category A,Vehicle Deregistration,3465.0
2018-12,Category B,Vehicle Deregistration,2661.0
2018-12,Category D,Vehicle Deregistration,1490.0
2019-01,Category A,Vehicle Deregistration,3438.0
2019-01,Category B,Vehicle Deregistration,2534.0
2019-01,Category D,Vehicle Deregistration,1649.0
2019-02,Category A,Vehicle Deregistration,2570.0
2019-02,Category B,Vehicle Deregistration,2160.0
2019-02,Category D,Vehicle Deregistration,1225.0
2019-03,Category A,Vehicle Deregistration,3477.0
2019-03,Category B,Vehicle Deregistration,2891.0
2019-03,Category D,Vehicle Deregistration,1632.0
2019-04,Category A,Vehicle Deregistration,2724.0
2019-04,Category B,Vehicle Deregistration,2412.0
2019-04,Category D,Vehicle Deregistration,1437.0
2019-05,Category A,Vehicle Deregistration,2316.0
2019-05,Category B,Vehicle Deregistration,2265.0
2019-05,Category D,Vehicle Deregistration,1418.0
2019-06,Category A,Vehicle Deregistration,2001.0
2019-06,Category B,Vehicle Deregistration,2262.0
2019-06,Category D,Vehicle Deregistration,1121.0
2019-07,Category A,Vehicle Deregistration,2450.0
2019-07,Category B,Vehicle Deregistration,2510.0
2019-07,Category D,Vehicle Deregistration,1447.0
2019-08,Category A,Vehicle Deregistration,2176.0
2019-08,Category B,Vehicle Deregistration,2123.0
2019-08,Category D,Vehicle Deregistration,1342.0
2019-09,Category A,Vehicle Deregistration,2146.0
2019-09,Category B,Vehicle Deregistration,2103.0
2019-09,Category D,Vehicle Deregistration,1219.0
2019-10,Category A,Vehicle Deregistration,2192.0
2019-10,Category B,Vehicle Deregistration,2127.0
2019-10,Category D,Vehicle Deregistration,1258.0
2019-11,Category A,Vehicle Deregistration,2143.0
2019-11,Category B,Vehicle Deregistration,2126.0
2019-11,Category D,Vehicle Deregistration,1175.0
2019-12,Category A,Vehicle Deregistration,2145.0
2019-12,Category B,Vehicle Deregistration,2270.0
2019-12,Category D,Vehicle Deregistration,1010.0
2020-01,Category A,Vehicle Deregistration,2239.0
2020-01,Category B,Vehicle Deregistration,2111.0
2020-01,Category D,Vehicle Deregistration,1278.0
2020-02,Category A,Vehicle Deregistration,1778.0
2020-02,Category B,Vehicle Deregistration,2030.0
2020-02,Category D,Vehicle Deregistration,1182.0
2020-03,Category A,Vehicle Deregistration,2397.0
2020-03,Category B,Vehicle Deregistration,2279.0
2020-03,Category D,Vehicle Deregistration,1291.0
2020-04,Category A,Vehicle Deregistration,1707.0
2020-04,Category B,Vehicle Deregistration,1394.0
2020-04,Category D,Vehicle Deregistration,582.0
2020-05,Category A,Vehicle Deregistration,1184.0
2020-05,Category B,Vehicle Deregistration,852.0
2020-05,Category D,Vehicle Deregistration,368.0
2020-06,Category A,Vehicle Deregistration,1756.0
2020-06,Category B,Vehicle Deregistration,1599.0
2020-06,Category D,Vehicle Deregistration,735.0
2020-07,Category A,Vehicle Deregistration,1697.0
2020-07,Category B,Vehicle Deregistration,1762.0
2020-07,Category D,Vehicle Deregistration,757.0
2020-08,Category A,Vehicle Deregistration,1750.0
2020-08,Category B,Vehicle Deregistration,1790.0
2020-08,Category D,Vehicle Deregistration,841.0
2020-09,Category A,Vehicle Deregistration,1537.0
2020-09,Category B,Vehicle Deregistration,1705.0
2020-09,Category D,Vehicle Deregistration,710.0
2020-10,Category B,Vehicle Deregistration,1659.0
2020-10,Category D,Vehicle Deregistration,709.0
2020-10,Category A,Vehicle Deregistration,1518.0
2020-11,Category D,Vehicle Deregistration,693.0
2020-11,Category A,Vehicle Deregistration,1506.0
2020-11,Category B,Vehicle Deregistration,1582.0
2020-12,Category D,Vehicle Deregistration,1007.0
2020-12,Category A,Vehicle Deregistration,1425.0
2020-12,Category B,Vehicle Deregistration,1590.0
2021-01,Category B,Vehicle Deregistration,1427.0
2021-01,Category D,Vehicle Deregistration,1009.0
2021-01,Category A,Vehicle Deregistration,1383.0
2021-02,Category D,Vehicle Deregistration,912.0
2021-02,Category B,Vehicle Deregistration,1198.0
2021-02,Category A,Vehicle Deregistration,1268.0
2021-03,Category B,Vehicle Deregistration,1804.0
2021-03,Category D,Vehicle Deregistration,1150.0
2021-03,Category A,Vehicle Deregistration,1918.0
2021-04,Category B,Vehicle Deregistration,1647.0
2021-04,Category D,Vehicle Deregistration,876.0
2021-04,Category A,Vehicle Deregistration,1607.0
2021-05,Category B,Vehicle Deregistration,1798.0
2021-05,Category A,Vehicle Deregistration,1872.0
2021-05,Category D,Vehicle Deregistration,910.0
2021-06,Category D,Vehicle Deregistration,872.0
2021-06,Category B,Vehicle Deregistration,1680.0
2021-06,Category A,Vehicle Deregistration,1864.0
2021-07,Category D,Vehicle Deregistration,750.0
2021-07,Category A,Vehicle Deregistration,1249.0
2021-07,Category B,Vehicle Deregistration,1332.0
2021-08,Category D,Vehicle Deregistration,913.0
2021-08,Category B,Vehicle Deregistration,1336.0
2021-08,Category A,Vehicle Deregistration,1256.0
2021-09,Category A,Vehicle Deregistration,1039.0
2021-09,Category D,Vehicle Deregistration,800.0
2021-09,Category B,Vehicle Deregistration,1240.0
2021-10,Category D,Vehicle Deregistration,762.0
2021-10,Category B,Vehicle Deregistration,1328.0
2021-10,Category A,Vehicle Deregistration,1243.0
2021-11,Category D,Vehicle Deregistration,772.0
2021-11,Category A,Vehicle Deregistration,1198.0
2021-11,Category B,Vehicle Deregistration,1165.0
2021-12,Category B,Vehicle Deregistration,1167.0
2021-12,Category A,Vehicle Deregistration,1097.0
2021-12,Category D,Vehicle Deregistration,889.0
